id,task,model,replicate,seconds,tool_calls,passed,score,maxScore,api_standard_proxy_usd,api_no_cache_proxy_usd
x_sol_3,x,gpt-5.6-sol,3,114.227,12,False,66,75,0.4153432,1.989436
x_astra_5,x,gpt-6-astra,5,78.201,6,True,75,75,0.47557,1.92709
z_astra_2,z,gpt-6-astra,2,35.477,4,True,15,15,0.19984,1.1272
x_astra_2,x,gpt-6-astra,2,85.238,8,True,75,75,0.515844,2.73114
x_astra_3,x,gpt-6-astra,3,122.798,10,True,75,75,0.649038,3.39195
y_luna_4,y,gpt-5.6-luna,4,65.1,5,False,15,16,0.01143908,0.0342026
x_terra_1,x,gpt-5.6-terra,1,164.978,19,False,59,75,0.4060324,2.159146
y_luna_2,y,gpt-5.6-luna,2,104.749,5,False,15,16,0.014559280000000003,0.041930800000000004
z_astra_5,z,gpt-6-astra,5,36.613,4,True,15,15,0.19771,1.12507
y_luna_5,y,gpt-5.6-luna,5,81.541,5,False,15,16,0.011039919999999998,0.0408076
z_luna_2,z,gpt-5.6-luna,2,63.356,7,False,15,15,0.011877039999999998,0.0474508
y_sol_1,y,gpt-5.6-sol,1,75.634,5,False,15,16,0.1606296,0.70806
y_astra_3,y,gpt-6-astra,3,79.611,4,True,16,16,0.276468,1.1877
y_astra_5,y,gpt-6-astra,5,84.506,4,True,16,16,0.275318,1.18655
z_sol_2,z,gpt-5.6-sol,2,55.158,5,True,15,15,0.13593360000000002,0.687972
y_sol_2,y,gpt-5.6-sol,2,79.082,5,False,15,16,0.1646848,0.712576
y_sol_3,y,gpt-5.6-sol,3,87.369,5,False,15,16,0.17691679999999999,0.727112
y_terra_2,y,gpt-5.6-terra,2,75.471,5,False,15,16,0.095314,0.367186
z_luna_3,z,gpt-5.6-luna,3,71.962,5,False,15,15,0.00887208,0.035322
y_luna_1,y,gpt-5.6-luna,1,75.546,6,False,15,16,0.00982576,0.039916
x_terra_5,x,gpt-5.6-terra,5,88.007,11,False,58,75,0.24768640000000003,1.152928
z_sol_5,z,gpt-5.6-sol,5,53.242,5,True,15,15,0.1349256,0.686964
y_sol_5,y,gpt-5.6-sol,5,86.552,5,False,15,16,0.1755256,0.72526
x_sol_5,x,gpt-5.6-sol,5,133.532,13,False,66,75,0.414256,2.20216
y_terra_4,y,gpt-5.6-terra,4,77.948,5,False,14,16,0.09891,0.370782
z_sol_1,z,gpt-5.6-sol,1,55.321,5,True,15,15,0.14238720000000002,0.705024
x_terra_3,x,gpt-5.6-terra,3,66.522,7,False,56,75,0.1725352,0.6649
z_terra_4,z,gpt-5.6-terra,4,54.501,5,False,13,15,0.0818316,0.35739
z_astra_1,z,gpt-6-astra,1,39.621,4,True,15,15,0.20024,1.1276
x_luna_5,x,gpt-5.6-luna,5,87.08,10,False,61,75,0.01975236,0.0941946
x_terra_2,x,gpt-5.6-terra,2,106.02,11,False,59,75,0.33850040000000003,1.538654
z_sol_3,z,gpt-5.6-sol,3,56.851,5,True,15,15,0.1357536,0.687792
z_luna_4,z,gpt-5.6-luna,4,59.818,6,True,15,15,0.00988624,0.0401608
y_astra_2,y,gpt-6-astra,2,72.083,4,True,16,16,0.257138,1.16837
y_luna_3,y,gpt-5.6-luna,3,73.839,4,False,15,16,0.008987400000000001,0.0308754
y_terra_3,y,gpt-5.6-terra,3,92.537,5,False,15,16,0.1020128,0.375728
z_luna_1,z,gpt-5.6-luna,1,61.711,6,True,15,15,0.008928440000000001,0.039203
x_sol_4,x,gpt-5.6-sol,4,123.772,12,False,66,75,0.3881112,2.022108
y_sol_4,y,gpt-5.6-sol,4,101.556,5,False,15,16,0.1926216,0.74466
x_luna_1,x,gpt-5.6-luna,1,89.65,12,False,60,75,0.017792279999999997,0.094239
x_luna_2,x,gpt-5.6-luna,2,113.114,14,False,61,75,0.023546400000000002,0.1152456
x_terra_4,x,gpt-5.6-terra,4,152.364,17,False,61,75,0.33809480000000003,1.899746
z_sol_4,z,gpt-5.6-sol,4,53.078,5,True,15,15,0.13579760000000002,0.687836
x_sol_1,x,gpt-5.6-sol,1,148.198,14,False,68,75,0.4399576,2.448124
x_luna_3,x,gpt-5.6-luna,3,89.127,15,False,61,75,0.022043080000000003,0.12014739999999999
x_astra_4,x,gpt-6-astra,4,109.133,10,True,75,75,0.617736,3.3618
x_sol_2,x,gpt-5.6-sol,2,92.951,10,False,64,75,0.3176872,1.675204
y_astra_1,y,gpt-6-astra,1,78.656,4,True,16,16,0.357384,1.18452
z_astra_4,z,gpt-6-astra,4,40.072,4,True,15,15,0.23543,1.12823
z_terra_5,z,gpt-5.6-terra,5,54.517,5,False,13,15,0.0815504,0.349736
z_astra_3,z,gpt-6-astra,3,37.641,4,True,15,15,0.201206,1.12511
y_terra_5,y,gpt-5.6-terra,5,78.573,5,False,15,16,0.09394319999999999,0.363972
z_luna_5,z,gpt-5.6-luna,5,66.994,6,True,15,15,0.0093246,0.0408894
z_terra_2,z,gpt-5.6-terra,2,54.735,5,False,13,15,0.0812504,0.349436
z_terra_3,z,gpt-5.6-terra,3,51.077,5,False,13,15,0.0810264,0.349212
y_terra_1,y,gpt-5.6-terra,1,79.855,5,False,15,16,0.0935312,0.36356
y_astra_4,y,gpt-6-astra,4,82.42,4,True,16,16,0.29117,1.19549
x_luna_4,x,gpt-5.6-luna,4,106.706,17,False,62,75,0.0255356,0.14177240000000002
z_terra_1,z,gpt-5.6-terra,1,54.762,5,False,13,15,0.0799324,0.348118
x_astra_1,x,gpt-6-astra,1,107.783,14,True,75,75,0.77338,4.5865
